,date,text,is_road_closure
1930,2018-09-20 14:05:15,just because rain isn t falling doesn t mean water aren t rising new closure are expected today remember to never try and drive through flooded road #turnarounddontdrown #florencenc pic twitter com ziqfgknoze,1
1931,2018-09-20 12:54:59,about 750 road remain closed down from 2 200 including section of i 40 i 95 u 258 in kinston wa closed thurs due to flooding driver should plan for u 70 to be closed a the neuse continues to rise u 421 at the new hanover co line is now closed #florencenc pic twitter com e1ogxoh968,1
1940,2018-09-20 01:20:05,no safe stable and reliable route currently exists for the public to get to and from wilmington we recommend keeping an eye on http drivenc gov for the latest travel condition including known road closure,1
1943,2018-09-20 00:38:18,there s no safe reliable route to wilmington keep an eye on http drivenc gov for the latest traffic condition and known road closure it s the most accurate and up to date resource we have for you,1
1944,2018-09-20 00:26:03,we can t help you outside north carolina but when you re ready to travel and close check out http drivenc gov for the latest traffic condition and known road closure it s the most accurate and up to date resource we have for you,1
1945,2018-09-20 00:05:11,your best bet is to consult http drivenc gov for the latest road condition and closure click on a route region or county for more detail then hit the incident tab,1
1946,2018-09-19 23:01:01,we encourage motorist to use real time travel apps instead of traditional gps unit a the apps will provide the most up to date travel route use http drivenc gov for road closure detour and more #florencenc pic twitter com syxhx14gqw,1
1949,2018-09-19 20:32:13,check http drivenc gov for closure and update on road condition here s the current durham co list state maintained road only look for weather event http tims ncdot gov tims regionsum mary aspx co 32,1
1952,2018-09-19 18:30:18,ha been sending #drone image of damaged and flooded highway a we receive them we will add them to our #hurricaneflorence photo album here http bit ly 2qgbwlf pic twitter com ak7akazn2u,1
1953,2018-09-19 18:24:43,jason that s a big question hard to predict how long it will be before floodwaters recede and repair are made to the hundred of road closed by hurricane florence,1
1959,2018-09-19 16:00:38,here s a look at road closure currently 850 including major route such a i 95 and i 40 travel is still not advised to these region due to river that haven t crested debris downed power line and more for info on route visit http drivenc gov #florencenc pic twitter com hozldgcqlp,1
1971,2018-09-19 13:16:11,we re so grateful for the first responder who are putting their own life in danger every day to keep those impacted by #florencenc safe don t jeopardize them by driving around barricade or road closed sign even if it appears clear to you http twitter com ncemergency st atus 1042192628773781510,1
1974,2018-09-19 03:48:44,hi harvey please visit http drivenc gov for the latest list of known road condition and closure click on a route region or county for more detail then hit the incident tab,1
1975,2018-09-19 03:43:03,hi nigel please visit http drivenc gov for the latest list of known road condition and closure click on a route region or county for more detail then hit the incident tab stay safe,1
1979,2018-09-19 01:12:54,we strongly advise that if you are in a safe place to stay there and to not travel through this part of nc road condition are changing quickly it is not safe to travel but if you must please visit http drivenc gov for the latest known road closure and condition,1
1986,2018-09-18 22:45:02,there are 1 050 road closure incl i 95 and 40 plus numerous highway primary route water are still rising 2 200 people have been rescued never drive around barricade or into flooded standing water visit http drivenc gov pic nc211 brunswick co #florencenc pic twitter com drjtgrxooi,1
1989,2018-09-18 21:14:59,road condition are still changing and we advise you stay off the road what s open now may become impassable you ll have to use http drivenc gov to find a route that isn t closed,1
1994,2018-09-18 20:20:54,the smartest decision you can make today is to not drive around barricade or road closed sign they are in place to keep you safe driving around barricade is one of the leading cause of fatality after storm do your part and turn around #florencenc #ncwx pic twitter com ctte7sqezk,1
1996,2018-09-18 19:36:06,harold none of the flooded section on i 95 are expected to open in the next several day ncdot discourages all travel in southeastern nc because the flooding is so extensive you can check the status of possible route at http drivenc gov good luck and stay safe,1
2005,2018-09-18 18:06:02,these primary route in wilson county remain closed nc 222 south of stantonsburg and u s 58 closed north of statonsburg north of bartie road go to http drivenc gov click on wilson county then the incident tab for more info,1
2018,2018-09-18 16:23:03,john i95 is closed through much of north carolina and possibly part of south carolina too i 85 is open through north carolina check http drivenc gov for the latest on highway condition,1
2021,2018-09-18 15:45:13,ncdot crew are working to get nc back on her foot quickly 2 611 employee 1 422 chainsaw 1 588 truck 3 897 barricade 1 955 road closed sign and 2 705 high water sign #florencenc pic twitter com uydq956d6i,1
2033,2018-09-18 13:28:14,numerous road in cumberland county are impassable you ll have to use http drivenc gov to find a route that isn t closed click on a route region or county for more detail then hit the incident tab to find each closed location,1
2034,2018-09-18 13:12:10,you ll have to use http drivenc gov to find a route that isn t closed click on a route region or county for more detail then hit the incident tab to find each closed location,1
2035,2018-09-18 13:10:05,road condition are still changing what s open now may become impassable you ll have to use http drivenc gov to find a route that isn t closed click on a route region or county for more detail then hit the incident tab,1
2043,2018-09-18 07:56:27,you can get the latest known traffic condition and road closure by visiting http drivenc gov choose a route region or county for more detail then hit the incident tab,1
2048,2018-09-17 23:40:26,barrier are in place to keep you safe don t put your life or responder in danger by driving around them even if it look clear road could be washed out or flooded safety start with you thanks to for this reminder #florencenc pic twitter com k5h89ea6hc,1
2053,2018-09-17 20:40:03,gps navigation system aren t able to keep up with the changing road closure and are directing people onto road that are confirmed closed and or flooded if you are in a safe place stay put call 511 for update check our website for more helpful info http bit ly 2mbcfpl,1
2061,2018-09-17 18:25:00,we understand wanting to get back to area along the coast however in addition to flooded road downed power line are also very dangerous at this time it s nearly impossible to see them in flooded water or in debris please let crew get in and work #florencenc http twitter com dukeenergy sta tus 1041375831707271168,1
2062,2018-09-17 18:22:20,road condition can be checked at http drivenc gov to find a route that isn t closed click on a route region or county for more detail then hit the incident tab,1
2069,2018-09-17 17:33:48,we are urging driver if they are in a safe place right now stay put many road that are have been passable within the last few hour could be flooded and too dangerous for travel due to downed tree power line etc for real time traffic information http drivenc gov,1
2082,2018-09-17 12:38:03,travel is not advised in and through north carolina several section of i 95 are closed if you are in a safe place stay there,1
2083,2018-09-17 12:27:54,hi there a many road closed to see these click this link and then select the incident tab http bit ly 2h32zjp jacksonville wa hit very hard and they re continuing to rescue people a river rise please do not attempt travel to those area,1
2086,2018-09-17 11:50:33,we strongly advise that if you are in a safe place to stay there and to not travel throughout today road are dangerous and condition continue to deteriorate if you must drive please visit http bit ly 2hvgppa for the latest list of known road condition and closure,1
2089,2018-09-17 05:11:49,we recommend against travel to north carolina i 95 is flooded and closed check http drivenc gov for update,1
2092,2018-09-17 04:14:21,dave heavy flooding ha closed i 95 at lumberton 19 mile north of the sc line,1
2097,2018-09-17 02:51:21,jay in many part of the state it will get worse before it get better some road will be closed for day we ll make road repair and debris removal a quickly a we can but we cannot predict how long it will take for flood water to recede,1
2117,2018-09-16 23:05:03,we strongly advise you to stay put and to not travel through north carolina since road condition are continuing to deteriorate additionally gps device can t keep up with the road closure and are directing people onto road confirmed closed and flooded please stay safe,1
2122,2018-09-16 22:15:49,reported closure continue to increase current a of 5 30 p m this is changing rapidly stay home stay safe view road condition on #florencenc at http drivenc gov #ncwx pic twitter com zudasrjsma,1
2131,2018-09-16 20:05:46,reported closure continue to increase current a of 3 30 p m this is changing rapidly stay home stay safe view road condition on #florencenc here http bit ly 2jn0fh0 #ncwx pic twitter com znkzf02rxt,1
2136,2018-09-16 18:25:19,to give you an idea of what road condition are like around the state right now here s a look at reported closure a of 1 30 p m this is changing rapidly stay home stay safe view road condition on #florencenc here http bit ly 2jn0fh0 #ncwx pic twitter com vw78qu3yn4,1
2138,2018-09-16 17:20:00,motorist traveling through north carolina can call 511 during the day for the latest road condition and other important information including crash weather related closure and road construction transfer to neighboring state 511 system #florencenc pic twitter com tb3kqxkol2,1
2142,2018-09-16 16:50:36,to give you an idea of what road condition are like around the state right now here s a look at reported closure a of 11 30 a m this is changing rapidly stay home stay safe read the latest news release on #florencenc here http bit ly 2mboiyd #ncwx pic twitter com 2fzprxmmlu,1
2156,2018-09-16 13:38:55,most of the route to the coast are flooded see this map from travel is not advised if you re somewhere safe stay there updated road condition are available at http drivenc gov pic twitter com hwoa6uraot,1
2157,2018-09-16 13:21:38,yes http drivenc gov is the best place to get updated road closure but travel is not advised,1
2159,2018-09-16 11:46:04,another reason to stay off the road a condition change gps navigation system are not keeping up with the road closure and are directing people onto road that are confirmed closed and or flooded http bit ly 2mbcfpl #florencenc #ncwx pic twitter com wm4ubyjsdy,1
2161,2018-09-16 03:15:21,dion please check road condition in the morning at http drivenc gov more than 100 primary and secondary highway are closed because of #florencenc flooding and damage be careful out there,1
2162,2018-09-16 03:12:32,many road between raleigh and emerald isle are still closed we urge folk to avoid driving on road south of u 64 and east of i 73 74 driving is still very hazardous with more than 100 primary secondary road blocked by flooding and storm debris,1
2163,2018-09-16 03:08:53,rachel it s not safe to make that drive more than 100 primary and secondary road are closed we are urging folk to stay off the road south of u 64 and east of i 73 74,1
2165,2018-09-16 02:59:42,dion more than 100 primary and secondary road are flooded travel is dangerous in much of the state we urge north carolinian to avoid driving on road south of u 64 and east of i 73 74 check http drivenc gov for update on specific route,1
2171,2018-09-15 22:47:40,absolutely not the worst of the storm is just getting to the area and many road are already closed because of flooding or downed tree condition are quickly getting worse and travel is strongly discouraged,1
2172,2018-09-15 22:12:26,this storm s danger ha not passed please take the danger of flooded road seriously a creek and river crest the next few day you hear it a lot but turn around don t drown trying to save a few minute is not worth your life #florencenc pic twitter com hjh9vo4zjj,1
2175,2018-09-15 21:04:19,because of the changing condition we are advising you not to travel to find update on road closure visit http drivenc gov you can also find update on flooding condition at http fiman nc gov fiman,1
2200,2018-09-15 11:27:00,dmv alert north carolina driver license office that normally are open on saturday are closed today more detail at http bit ly 2mmhmyw don t forget many service are available online anytime at http myncdmv gov #ncdmv #florencenc #ncwx pic twitter com ogqmuyzx5k,1
2216,2018-09-14 15:30:31,we urge you to stay home unless travel is imperative a #florencenc impact north carolina condition will worsen a river and creek rise moreso over the next few day barricade and road closed sign are there to keep you and responder safe #florence pic twitter com owzzp8cbvi,1
2218,2018-09-14 13:00:14,if you must be out please stay alert for downed power line across road they may be difficult to see in flooded water or among debris turn around and go another way #florencenc http twitter com dukeenergy sta tus 1040265856062767106,1
2219,2018-09-14 12:23:51,a condition worsen ncdot is working to make sure enough safety equipment is on hand 3 663 barricade 1 988 road closed sign and 3 587 high water sign help do your part by never driving into flooded or standing water #florencenc pic twitter com 0aj0gb96v1,1
2221,2018-09-14 05:03:39,we cannot share this enough in case of flooding move to higher ground and do not drive into standing or flooded water if you have to be out remember these life saving tip don t put yourself in harm s way #florencenc #ncwx http twitter com ncemergency st atus 1040463978101702658,1
2234,2018-09-13 13:48:34,hi braxton we don t know yet which road will need to be closed however you can get up to date info on closure for u 74 here http bit ly 2mtdqql and u 76 http bit ly 2cojpaj,1
2244,2018-09-13 11:35:01,we encourage motorist to use real time travel apps instead of traditional gps unit a the apps will provide the most up to date travel route use http drivenc gov for road closure detour and more #florencenc pic twitter com 2oohuye0nx,1
2250,2018-09-13 01:05:47,hi there we recommend staying connected at http bit ly 2hvgppa for the latest road closure and traffic we also want your friend to take heed of this warning that wa posted on the carteret county facebook page to evacuate http bit ly 2oecdyz please stay safe,1
2252,2018-09-12 22:10:43,thanks for contacting the ncdot beth the alamance maintenance unit had to unclog a median drop inlet on i 40 85 west from 9 12 today a part of #florencenc prep possibly preventing a full closure due to potential flooding in the coming day safe travel,1
2253,2018-09-12 20:10:05,how ncdot s preparing for #florence 2 384 employee on hand with 1 480 truck 1 275 chain saw 180 front loader 245 motor grader and 228 backhoe also 3 326 barricade 1 748 road closed sign and 3 322 high water sign #ncwx of div 12 crew prepping pic twitter com fsrhpfi6tv,1
2296,2018-09-11 14:05:01,in north carolina check road condition and road closure at http drivenc gov more traveler resource are here http www ncdot gov travel map tr affic travel severe weather page summer aspx,1
2297,2018-09-11 13:51:49,ncdot help driver avoid flooded or blocked road with continuous online update about highway condition at http drivenc gov you can look up your county or your route,1
2311,2018-09-10 18:51:02,how ncdot s preparing for #florence 2 166 employee on hand with 1 284 truck 1 086 chain saw 147 front loader 219 motor grader and 202 backhoe also 2 877 barricade 1 488 road closed sign and 2 853 high water sign latest info at http bit ly 2cgza2y #ncwx pic twitter com o4s3imigoh,1
9437,2018-09-28 16:59:42,road washout occurs when the soft soil or support surface beneath poured asphalt erode due to a heavy downpour of rain a flash flood or other stream flooding be careful when driving on road that were flooded during #hurricaneflorence http twitter com nwsmoreheadcit y status 1045705754806767622,1
9449,2018-09-25 13:55:39,there are still around 363 road closure statewide due to #hurricaneflorence remember barricade are there for your protection do not drive around barricade or flooded road use http drivenc gov to ensure your route are clear http twitter com ncdot status 1 044357311899348992,1
9466,2018-09-20 17:58:41,for those wondering about route to wilmington brunswick county and other area that are experiencing road closure due to flooding sgt chris knox ha a few pointer http ow ly fpgw30lu98j continue to use s http drivenc gov for updated route info,1
9471,2018-09-19 15:04:45,several squad have been working in lumberton this week to ensure unsafe road are closed the north carolina baptist men and woman disaster relief group have donated time and resource to ensure these squad have adequate housing and food thank you #florencenc pic twitter com veyfju9gob,1
9473,2018-09-18 18:29:44,ha been working throughout #hurricaneflorence to ensure that community are being fed motorist are keeping off flooded road and even helping out with rescuing wildlife if you are on the road please heed warning of law enforcement and never drive around barricade pic twitter com ratrwle1kz,1
9474,2018-09-18 15:03:44,the through a joint effort with is conducting uas flying mission over flooded area to map out structural damage a well a identify flooded vehicle that may have trapped occupant watch mission footage here http ow ly fd6u30lrwop #florencenc pic twitter com bynmtb4p4z,1
9496,2018-09-15 21:29:46,have closed i 95 south of u 64 to thru traffic due to flooding motorist are encouraged to follow detour route posted on ncdot message board pic twitter com lvrztzwl8b,1
9497,2018-09-15 13:44:17,road closure update sb nb lane on 1 40 between exit 364 and 369 duplin county are closed due to flooding also sb lane on i 95 around exit 71 harnett county have been closed be safe and never drive through standing or moving water #florencenc pic twitter com zqhpgohxle,1
9498,2018-09-14 22:55:05,it s starting to get dark and #hurricaneflorence is still causing power outage heavy rainfall and hazardous wind condition if possible avoid venturing out of your home flooded road are deadly never drive past barricade or through standing water pic twitter com q0fu4dkf6f,1
17150,2018-09-24 17:35:38,announcement spd service at the police memorial dr building are moving open record criminal history will be closed 5 p m wed to 10 1 for moving record will still process request by email tow release form will move to hq additional detail at http savannahpd org spd service o n police memorial drive move location this week,1
17163,2018-09-21 11:22:19,#spdcommuteralert two lane of eb abercorn street approaching the savannah mall is blocked due to a 4 vehicle collision non life threatening injury reported please take an alternate route or exercise patience when traveling through that area pic twitter com d64uekfseb,1
17175,2018-09-14 21:00:24,#spdtraffic the intersection of 54th and montgomery is closed for a 2 vehicle crash with injury tiu is responding to the scene please seek an alternate route pic twitter com qdmixz7xdy,1
17185,2018-09-11 05:06:28,#spdtraffic tiu is responding to a crash at dean forest and pine meadow involving a tractor trailer and a vehicle extent of injury is not currently available southbound dean forest from hwy 80 to i 16 is expected to be closed for several hour,1
17187,2018-09-10 16:49:14,#spdtrafficalert a portion of nb skidaway road at shell road is blocked due to a minor oil spill crew are working to clear the area expect delay in the area for a few hour information will be updated once the roadway is clear and safe to travel pic twitter com hc2zdt7zfz,1
23033,2018-09-12 15:16:00,any information regarding bridge or road closure would be released by the georgia department of transportation,1
28815,2018-09-17 22:19:10,a big rigtrucker try to manage a flooded 2 lane road around whiteville my photographer chris johnson and i started the normally 3 hour drive from wilmington to charlotte 2 and a half hour ago we are no where near half way yet i pic twitter com nrmlxcwh9q,1
28819,2018-09-16 16:50:26,a dangerous game i saw people driving through flooded street one man nearly lost control andcame within inch of hitting a anothe vehicle on racine drive in wilmington pic twitter com a6gobw1h1g,1
28820,2018-09-15 20:37:35,driving on s kerr ave in car have go to the center lane to pas several road are flooded around the city keep up with for the latest weather information a #tropicalstormflorence move into the charlotte region pic twitter com zqsirlf0ou,1
33040,2018-09-26 13:07:02,check out this #nwcorridor express lane schedule please note that every friday until dec 1st the lane will be closed from 11 pm 11 30 am saturday morning for scheduled maintenance #workingforyou #knowbeforeyougo pic twitter com 6h9fnbxsoy,1
34110,2018-09-16 19:10:57,extensive flooding is ongoing north of our area remember if you encounter flooded roadway turn around don t drown #scwx pic twitter com phjzjd4xug,1
36937,2018-09-16 16:15:52,171 primary road closed across nc because of flooding from #florence,1
39264,2018-09-15 16:21:12,in order to replace a csx rail road crossing u 341 south of brunswick will be closed in brunswick september 22 23 2018 the route shown below is a truck detour motorist should avoid the area next weekend http www facebook com glynncountyboc post 10156428974745772,1
40930,2018-09-29 16:53:58,great reminder of the power of water it may look shallow and it may look calm but flooded roadway can be deadly underneath #gawx #turnarounddontdrown #scwx #caewx http twitter com nwsmoreheadcit y status 1045705754806767622,1
41002,2018-09-18 14:38:15,from this is an excellent example of why you should never try driving across a flooded roadway you have no way of knowing what is or isn t underneath the water #turnarounddontdrown #caewx #scwx #gawx pic twitter com 94t9w4raof,1
41028,2018-09-16 22:59:39,persistent banding of shower across eastern chesterfield county is continuing to exacerbate existing significant flooding lancaster chesterfield county remain under flash flood emergency and travel is discouraged with many road closure #scwx #florence #turnarounddontdrown pic twitter com rgw5kodjay,1
41037,2018-09-16 16:30:08,12 26 pm update flood emergency chesterfield co sc resident should shelter in place call 911 for assistance curfew in effect numerous road flooded impassable across chesterfield co lancaster co #florence #scwx http nwschat weather gov p php pid 2018 09161427 kcae wous42 cemcae,1
41042,2018-09-16 14:31:03,10 28 am flood emergency chesterfield co sc resident asked to shelter in place call 911 if you need assistance curfew in effect 11am today until 7am monday 13 of rain ha fallen w more to come numerous road flooded impassable #florence #scwx http nwschat weather gov p php pid 2018 09161427 kcae wous42 cemcae,1
41045,2018-09-16 13:06:01,9 00am numerous road flooded and closed in chesterfield cheraw rainfall amount up to 13 reported #florence #caewx #scwx,1
41106,2018-09-14 14:53:58,flooding rain will be the biggest threat to the midland never drive around barricade or through a flooded roadway during the 2015 flooding 8 of the 19 death occurred because a vehicle drove into a flooded roadway per nw assessment http www weather gov medium publicat ion assessment scflooding 072216 signed final pdf pic twitter com p9qzvm5azj,1
41201,2018-09-11 02:32:15,10 31pm numerous road flooded closed in graniteville some vehicle stranded a water rescue in progress avoid this area,1
43959,2018-09-21 16:58:41,our office ha issued a flash flood emergency for the fittstown jesse and stonewall area in oklahoma there are several other flash flood warning in tx and ok take this flooding situation seriously and don t ever walk or drive through flooded road #okwx #txwx pic twitter com gh1ia04yw7,1
43980,2018-09-18 14:30:46,please heed this advice the impact from #florence in the form of flooded roadway will persist for week in some spot it s important to stick to doing what s right when driving for you and your family #turnarounddontdrown http twitter com scemd status 1 042047207598379008,1
44005,2018-09-15 18:12:35,footage from showing partially submerged home and flooded road #turnarounddontdrown http twitter com nwsmoreheadcit y status 1040988204277673984,1
44009,2018-09-15 15:07:07,don t take a chance by crossing flooded roadway turn around don t drown your life could depend upon it #florence pic twitter com u1mgufnwjf,1
44012,2018-09-15 12:53:12,you aren t the only one who will pay for a bad decision if you are tempted to drive through flooded road please don t keep these hero on the ground #florence pic twitter com mvbzcthyrq,1
44016,2018-09-14 23:05:58,the flash flood threat is just beginning in some area a #florence move slowly double digit rain total will become more widespread avoid flooded area especially roadway #turnarounddontdrown http twitter com nwsraleigh sta tus 1040730261057687553,1
44043,2018-09-13 17:44:08,good information on road condition and closure in south carolina #hurricaneflorence http twitter com scemd status 1 040259666654232576,1
49007,2018-09-16 12:48:42,please folk it ll get worse before it get better we say it all the time and we re going to beat that drum again do not ever ever ever drive through flooded roadway your life isn t worth it more than half of all flooding death occur in vehicle #ncwx #cltwx #wncwx pic twitter com 3vldjkfncm,1
49008,2018-09-16 12:06:56,8a the very definition of a flash flood rapid rise in 6 hr mcmullen creek 6 se charlotte rose 5 ft in last 2 hr the orange line on image is flood stage flash flood warning in effect until 1 30p do not drive through flooded roadway #ncwx #cltwx #turnarounddontdrown pic twitter com ruwdpynhji,1
49029,2018-09-15 22:37:42,significant major flooding is expected across the nc piedmont with damage to road home business likely please heed local official seek higher ground avoid flooded area for the latest on stream level forecast visit http water weather gov ahps2 index ph p wfo gsp #ncwx #cltwx #scwx pic twitter com kdqx0wkwwy,1
50872,2018-09-28 16:04:14,here s another reminder of the power of water this time from northern #duplin county remember the danger of driving through flooded roadway you just don t know what lie underneath #florence #ncwx pic twitter com pezlffpyzz,1
50899,2018-09-21 01:12:12,major river flooding continues across portion of eastern nc the neuse river continues to rise and is expected to crest friday night portion of highway 70 in kinston are now closed please heed road closure and the advice of local official turn around don t drown pic twitter com yulpera6pd,1
50900,2018-09-20 22:17:57,the neuse river continues to rise it will likely not crest until tomorrow evening at the earliest heed road closure and the advice of local official http twitter com ncdot scoast s tatu 1042899976353923073,1
50920,2018-09-18 00:42:22,significant flooding continues across the area here is a look at the state of some of the river late this evening continue to head road closure and local law enforcement never attempt to cross a flooded roadway pic twitter com 14uimlspex,1
50923,2018-09-17 21:58:37,we know a lot of folk are trying to get back to the area please be safe and obey all closed road sign some have water issue remaining others have dried out but have road issue this is bear creek rd just past cannon lane in onslow county #florence #ncwx pic twitter com xamr8ybjfw,1
51003,2018-09-15 03:37:55,this give you a general idea of how many road may be closed across our area don t focus too much on specific closure we are showing you this to emphasize how bad it is across our area please stay off the road #florence #ncwx pic twitter com pgofujda74,1
53545,2018-09-20 14:27:20,i know those road were closed going into wilmington right after florence due to flooding don t believe it will happen again next week but if it doe it shouldn t be long term effect,1
53637,2018-09-15 21:37:31,if you have issue on the road or need info on road closure check with nc dot online or 1 877 368 4968 or sc dot online or 1 855 467 2368 with two strong rain band over u we re receiving numerous report in se nc of dangerous road condition,1
53647,2018-09-15 17:06:22,road are severely flooded major highway and roadway are impassable and we are still expecting 20 of rain in the next day or so,1
53649,2018-09-15 15:11:22,if you are venturing out in the area today please be careful numerous report of power line down and flooded road across the region if you d like to check out preliminary storm report so far visit http nwschat weather gov p php pid 2018 09151507 kilm nwus52 lsrilm pic twitter com ejjxpt5kqi,1
56194,2018-09-19 13:10:25,while we still have a detour at 501 87 at the deep river all lane on u 421 are open again south of siler city several rural road in southern chatham near deep river are still closed,1
56206,2018-09-18 12:03:14,due to several flooded road across the county chatham county school are closed today for student it is an optional teacher workday,1
56216,2018-09-17 14:16:10,a of 10 am more than 45 road in chatham county are closed or blocked due to flooding please turn around and do not drive or walk through water on road and sidewalk,1
56218,2018-09-17 14:14:27,in chatham county the goldston collection center also is closed due to flooding it join bonlee and harper crossroad collection center a closed due to water covered road,1
56219,2018-09-17 12:07:29,chatham folk the bonlee and harper s crossroad waste and recycling collection center are closed due to flooded road in the area,1
56221,2018-09-17 11:19:27,here is a list of chatham county s waste recycling collection center we advise calling ahead today a some could be impacted by flooded road http www chathamnc org government dep artments program staff directory contact http twitter com chathamcountyn c status 1041647046523068416,1
56227,2018-09-17 10:48:47,numerous road in chatham county are blocked by flash flooding we have a heavy rain band over u now that will only make this worse check this dot website for known road issue http tims ncdot gov tims default a spx,1
56231,2018-09-17 00:12:57,many roadway in southern chatham county are now flooded and not passible please stay off the road unless an emergency,1
56247,2018-09-15 20:18:35,want to keep up to date on the latest road closure and detour check out http tims ncdot gov tims to search for specific issue in your area,1
56248,2018-09-15 20:10:05,per ncdot chatham church road is now closed between pete roberson road and johnny shaw road due to flooding stay safe and plan in advance to take an alternate route,1
56250,2018-09-15 19:07:51,shelter update a of 3 pm saturday september 15 both chatham county emergency shelter chatham middle school and northwood high school are closed for question related to hurricane florence or emergency sheltering please call 919 545 8162,1
56251,2018-09-15 17:25:04,a of 12 pm saturday september 15 the emergency shelter at chatham middle school is closed the shelter at northwood high school is scheduled to close at 4 pm today for question related to hurricane florence or emergency sheltering please call 919 545 8162,1
56253,2018-09-15 16:11:42,due to declining population the shelter at chatham middle school will be closed today september 15 2018 at noon the shelter at northwood is still open but in the process of closing if you have any sheltering need or have any question please call 919 545 8162,1
